id_cliente,idade,cidade,data_cadastro,canal_preferencial
1,49,São José do Rio Pardo,2026-07-08,Física
2,48,Tambaú,2026-07-13,Online
3,56,Tambaú,2024-02-09,Física
4,44,Vargem Grande do Sul,2025-02-16,Online
5,52,Mococa,2024-10-21,Online
6,46,São José do Rio Pardo,2024-10-05,Online
7,34,Itobi,2024-12-01,Física
8,45,Itobi,2026-05-12,Física
9,23,Vargem Grande do Sul,2024-05-23,Online
10,47,Casa Branca,2024-12-30,Online
11,23,Casa Branca,2025-10-02,Online
12,47,Mococa,2026-08-19,Online
13,17,Tambaú,2026-07-31,Online
14,75,Casa Branca,2025-03-31,Física
15,28,São José do Rio Pardo,2026-04-07,Física
16,51,Mococa,2026-03-28,Online
17,19,Aguaí,2025-08-25,Online
18,31,Tambaú,2026-05-20,Física
19,16,Itobi,2026-07-15,Física
20,39,São José do Rio Pardo,2026-09-06,Física
21,62,São João da Boa Vista,2024-12-21,Física
22,47,TambaÃº,2026-07-29,Online
23,71,Tambaú,2024-10-11,Física
24,60,Vargem Grande do Sul,2026-08-07,Online
25,74,São José do Rio Pardo,2026-01-21,Física
26,29,Itobi,2025-07-20,Física
27,38,Mococa,09-01-2024,Online
28,32,Vargem Grande do Sul,2026-08-21,Online
29,64,São João da Boa Vista,2025-01-03,física
30,71,Tambaú,2025-02-23,Física
31,48,SÃ£o JoÃ£o da Boa Vista,2026-01-13,Online
32,38,Casa Branca,2025-03-18,Online
33,43,Aguaí,2025-08-11,Física
34,27,São José do Rio Pardo,19/09/26,Física
35,33,São José do Rio Pardo,2024-12-19,Física
36,41,Itobi,2026-01-19,Online
37,70,Itobi,2024-11-15,Física
38,67,Tambaú,2026-05-02,Online
39,37,São João da Boa Vista,2026-03-04,Online
40,23,Mococa,2026-01-24,Online
41,18,Tambaú,2026-04-30,Física
42,58,Vargem Grande do Sul,2024-04-07,Física
43,43,Aguaí,2024-05-15,Online
44,30,Itobi,2026-09-12,Física
45,43,Tambaú,2025-09-15,Online
46,72,São José do Rio Pardo,2024-12-17,Online
47,40,Mococa,30-10-2025,Online
48,30,Vargem Grande do Sul,2026-05-23,Física
49,150,Aguaí,2025-07-31,Física
50,45,Casa Branca,2025-08-04,Online
51,69,Vargem Grande do Sul,2026-01-24,Online
52,74,São José do Rio Pardo,2024-05-12,Online
53,62,Vargem Grande do Sul,2024-02-24,Online
54,74,Vargem Grande do Sul,2025-05-27,Online
55,54,São José do Rio Pardo,2026-06-09,Física
56,66,Tambaú,2024-08-12,Física
57,47,Tambaú,2025-05-07,Online
58,32,São José do Rio Pardo,2024-07-31,Física
59,65,São João da Boa Vista,2025-05-02,Física
60,72,Vargem Grande do Sul,2024-09-24,Online
61,47,Mococa,2026-08-23,Física
62,57,Tambaú,2026-03-08,Online
63,66,TambaÃº,2024-06-10,Física
64,0,Tambaú,2024-01-25,Online
65,59,Tambaú,2025-07-23,Online
66,58,Tambaú,2024-08-04,Online
67,63,São João da Boa Vista,2024-02-28,Online
68,26,Mococa,2026-02-03,Física
69,27,Aguaí,2025-12-02,Online
70,28,Mococa,2025-04-30,Física
71,49,São José do Rio Pardo,2025-07-03,Online
72,49,Itobi,2024-12-31,Online
73,75,Mococa,2024-06-13,Física
74,75,Vargem Grande do Sul,2025-11-01,Online
75,40,Mococa,2024-11-10,Física
76,52,Mococa,23/05/26,Física
77,43,Casa Branca,2024-01-03,Online
78,32,São João da Boa Vista,2026-03-27,Física
79,32,Tambaú,2026-09-06,Online
80,62,Tambaú,2026-04-01,Online
81,49,Itobi,2025-09-10,Física
82,50,Aguaí,2026-05-09,Online
83,32,São João da Boa Vista,2024-12-22,Física
84,17,São José do Rio Pardo,2026-02-26,Online
85,51,Aguaí,2025-11-14,Física
86,66,Tambaú,2024-05-12,Online
87,71,São José do Rio Pardo,2025-04-23,Física
88,60,São José do Rio Pardo,2026-02-05,FÍSICA
89,22,Casa Branca,2024-11-16,Física
90,26,Vargem Grande do Sul,18/05/26,Física
91,29,São João da Boa Vista,2025-09-28,Online
92,37,São João da Boa Vista,2024-12-16,Online
93,54,Mococa,2025-12-29,Online
94,65,Itobi,2024-06-10,Online
95,51,São João da Boa Vista,2026-03-30,Física
96,60,Vargem Grande do Sul,2024-06-23,Física
97,41,São José do Rio Pardo,2024-05-08,Física
98,23,Casa Branca,2025-11-27,Física
99,45,Vargem Grande do Sul,2025-03-01,Física
100,40,São José do Rio Pardo,2025-09-02,Online
101,41,Mococa,2026-08-18,Física
102,24,Casa Branca,2024-08-22,Física
103,45,Aguaí,2025-08-24,Física
104,26,Mococa,2024-10-29,Física
105,68,Aguaí,2025-06-04,Física
106,60,Aguaí,2024-01-10,Física
107,35,Casa Branca,2025-04-26,Online
108,70,Mococa,2025-10-08,Online
109,55,Itobi,2026-04-23,Online
110,25,Vargem Grande do Sul,2024-07-27,Online
111,27,Mococa,02/05/26,Física
112,25,Vargem Grande do Sul,2026-01-31,Física
113,39,São João da Boa Vista,2025-06-15,Física
114,66,Vargem Grande do Sul,2024-07-30,Física
115,63,Mococa,2024-02-28,Online
116,53,São José do Rio Pardo,2025-04-23,Online
117,34,São José do Rio Pardo,2025-06-29,Física
118,40,São João da Boa Vista,2024-05-06,Online
119,75,Aguaí,2024-09-08,Física
120,69,Vargem Grande do Sul,2025-12-24,Online
121,36,Mococa,2025-02-08,Online
122,38,Itobi,2024-07-14,Física
123,64,São José do Rio Pardo,2024-10-06,Física
124,32,São João da Boa Vista,2026-05-31,Online
125,50,Aguaí,2025-10-19,Online
126,58,Vargem Grande do Sul,2026-04-01,Física
127,45,Aguaí,2025-11-10,Física
128,70,Tambaú,2025-06-15,Online
129,43,Mococa,2025-03-16,Online
130,51,Vargem Grande do Sul,2025-07-09,Online
131,28,Itobi,2026-01-02,Online
132,28,Tambaú,2024-11-27,Física
133,56,Itobi,2026-01-15,Física
134,63,Vargem Grande do Sul,2026-04-25,Física
135,40,Tambaú,2026-02-26,Física
136,48,Casa Branca,2024-05-25,Física
137,67,Mococa,2026-06-06,Online
138,17,SÃ£o JosÃ© do Rio Pardo,2024-07-26,Física
139,26,Aguaí,2025-09-02,Física
140,20,Mococa,2026-08-31,Física
141,46,São João da Boa Vista,2024-12-13,Online
142,22,São José do Rio Pardo,2024-10-16,Online
143,42,Mococa,2024-01-15,Física
144,40,São João da Boa Vista,2024-07-17,Online
145,23,Aguaí,2025-06-14,Física
146,25,São João da Boa Vista,2025-12-30,FÍSICA
147,34,São José do Rio Pardo,2026-01-30,Física
148,0,SÃ£o JoÃ£o da Boa Vista,2025-03-04,Online
149,18,Itobi,2024-04-12,Física
150,57,Tambaú,2024-12-27,Online
151,55,Aguaí,2026-04-11,Online
152,55,São João da Boa Vista,2025-12-26,Física
153,49,Tambaú,2024-02-28,Física
154,39,Casa Branca,2025-01-07,Online
155,16,Casa Branca,2026-05-16,Online
156,45,São José do Rio Pardo,2024-07-04,Física
157,31,Mococa,2024-12-02,Online
158,27,Vargem Grande do Sul,01/01/2025,Física
159,51,São João da Boa Vista,2026-09-04,Física
160,43,Casa Branca,2024-09-05,FÍSICA
161,43,Vargem Grande do Sul,2024-04-27,Física
162,31,Vargem Grande do Sul,2024-03-17,Online
163,29,São João da Boa Vista,2026-02-21,Online
164,21,SÃ£o JoÃ£o da Boa Vista,2024-07-05,Física
165,49,Casa Branca,2025-07-04,Online
166,55,Casa Branca,31-03-2026,Online
167,23,Mococa,2025-03-10,Online
168,52,Itobi,2025-11-13,Online
169,73,Mococa,2024-06-01,Online
170,34,São José do Rio Pardo,2026-04-28,Online
171,45,Vargem Grande do Sul,12-12-2025,Física
172,28,Vargem Grande do Sul,2025-09-04,Online
173,16,Casa Branca,16/10/2025,Física
174,60,Casa Branca,2025-12-27,Física
175,58,Mococa,2026-07-06,Online
176,51,São José do Rio Pardo,2024-08-10,Online
177,58,Aguaí,2024-05-02,Online
178,26,Aguaí,2024-12-15,Física
179,39,Itobi,2026-01-24,Física
180,63,Itobi,11/10/2024,Física
181,24,Casa Branca,2025-09-13,Física
182,46,São José do Rio Pardo,2024-06-28,Física
183,32,Mococa,2024-05-28,Física
184,69,São José do Rio Pardo,2024-08-09,Online
185,19,Aguaí,2025-02-05,Física
186,21,Itobi,2026-08-09,Online
187,71,Vargem Grande do Sul,2025-01-26,Física
188,30,Mococa,2026-08-07,Online
189,56,São José do Rio Pardo,2025-01-11,Física
190,25,Tambaú,2026-09-12,Online
191,25,São João da Boa Vista,2026-09-01,Física
192,58,Casa Branca,2025-04-10,Física
193,61,Aguaí,2025-09-04,Física
194,35,SÃ£o JosÃ© do Rio Pardo,2024-02-01,Online
195,48,São José do Rio Pardo,2025-07-18,Online
196,56,São José do Rio Pardo,2025-12-14,Online
197,68,Tambaú,2026-07-01,Física
198,59,Mococa,2025-05-20,Física
199,16,São João da Boa Vista,2024-04-22,Física
200,57,Mococa,2025-02-21,Online
201,18,Itobi,2026-01-24,Física
202,16,Vargem Grande do Sul,2024-03-05,Online
203,49,Casa Branca,2026-04-20,Física
204,52,Aguaí,2025-01-02,Física
205,57,Aguaí,2026-07-04,Física
206,58,Vargem Grande do Sul,2024-10-31,Online
207,52,Mococa,2024-10-09,Online
208,42,Vargem Grande do Sul,2024-07-14,Online
209,45,São José do Rio Pardo,2024-10-12,Online
210,44,Itobi,2025-06-06,Online
211,75,Itobi,2024-04-30,online
212,35,Itobi,2026-01-29,Online
213,29,Tambaú,2025-01-13,Online
214,37,Casa Branca,08/02/2026,Online
215,71,Tambaú,2024-01-07,Online
216,40,Aguaí,2025-12-23,FÍSICA
217,19,São João da Boa Vista,2024-11-12,Online
218,49,Tambaú,2024-07-31,Online
219,61,Aguaí,02/02/26,Online
220,49,São João da Boa Vista,2026-09-09,Online
221,47,Tambaú,2024-11-05,Online
222,36,Casa Branca,2024-03-04,Online
223,38,Itobi,2024-08-21,Física
224,41,São João da Boa Vista,2025-02-26,Física
225,31,Itobi,2024-03-29,Física
226,63,Vargem Grande do Sul,2025-07-22,Física
227,65,Itobi,29/04/25,Online
228,33,Mococa,2025-03-08,Online
229,62,Vargem Grande do Sul,2026-01-13,Online
230,62,Itobi,2026-06-11,Física
231,35,Mococa,2025-04-16,Física
232,29,Vargem Grande do Sul,2026-08-25,Física
233,42,Aguaí,2025-02-11,Física
234,75,São José do Rio Pardo,2024-12-27,Online
235,48,Mococa,2025-10-04,Física
236,33,Itobi,2025-07-13,Física
237,32,AguaÃ­,2026-05-22,Física
238,26,Casa Branca,2024-12-19,Física
239,18,São João da Boa Vista,2026-04-27,Física
240,38,Aguaí,2026-07-26,Física
241,75,Itobi,2024-08-12,Física
242,19,Tambaú,2024-04-09,Online
243,35,Casa Branca,2025-06-28,Online
244,56,Vargem Grande do Sul,2025-04-30,Física
