id_produto,categoria,produto,cor,tamanho,preco_unitario,estoque_minimo,estoque_maximo,quantidade_entrada,quantidade_saida,estoque_atual,estoque_fisico,data_entrada,ultima_venda
1,Bermuda,Bermuda Casual,Verde,M,142.26,3,34,67,12,55,57,2024-05-09,2026-01-21
2,Blusa,Blusa X,Preta,G,228.01,10,35,41,18,23,26,2025-04-05,2026-02-02
3,Calça,Calça Social,Azul,GG,120.07,5,21,48,62,0,0,2024-01-20,2025-03-20
4,Acessório,Acessório X,Verde,G,178.28,9,20,122,26,96,99,2025-12-24,2026-06-23
5,Calça,Calça Slim,Azul,P,251.81,3,21,78,2,76,77,2026-08-07,2026-09-17
6,Calça,Calça Slim,Rosa,GG,155.87,6,29,49,69,0,2,2025-01-26,2026-01-08
7,Bermuda,Bermuda Premium,Vermelha,P,244.67,8,29,24,54,0,0,2026-01-06,2026-04-28
8,Calça,Calça Social,Preta,G,52.5,6,35,123,3,120,121,2024-04-13,2025-01-24
9,Bermuda,Bermuda X,Verde,M,49.95,5,29,33,40,0,1,2025-05-27,2026-09-19
10,Vestido,Vestido X,Verde,G,277.12,4,24,32,41,0,0,2025-04-05,2025-12-31
11,Acessório,Acessório X,Verde,GG,148.31,4,37,129,30,99,100,2024-06-06,2024-09-30
12,Vestido,Vestido Slim,Azul,GG,100.47,5,26,149,39,110,110,2026-02-14,2026-08-06
13,Calça,Calça Social,Cinza,P,259.19,10,23,99,76,23,26,2026-03-13,2026-09-20
14,Acessório,Acessório Básica,Azul,M,310.42,8,27,33,0,33,32,2024-03-14,2024-04-25
15,Vestido,Vestido Premium,Branca,M,275.63,10,23,146,166,0,0,2025-08-28,2026-02-26
16,JAQUETA,Jaqueta Casual,Verde,G,340.95,6,38,105,39,66,67,2025-08-19,2026-09-24
17,Acessório,Acessório Esporte,Rosa,GG,196.28,9,32,144,77,67,69,2025-06-07,2026-09-14
18,Camiseta,Camiseta Premium,Verde,GG,116.96,6,39,98,109,0,0,2025-06-17,2026-06-26
19,Camiseta,Camiseta Social,Rosa,P,209.58,5,34,73,96,0,0,2025-01-30,2026-09-12
20,BERMUDA,Bermuda Slim,Verde,G,188.0,10,26,84,11,73,72,2025-01-30,2026-01-17
21,Acessório,Acessório X,Rosa,G,136.2,3,24,50,70,0,0,2026-01-21,2026-05-31
22,Camiseta,Camiseta Slim,Preta,GG,145.19,7,21,38,71,0,2,2024-11-21,2025-07-17
23,Jaqueta,Jaqueta Slim,Vermelha,G,75.32,5,35,107,41,66,63,2026-04-05,2026-07-23
24,Calça,Calça Casual,Preta,P,321.47,3,26,26,66,0,1,2024-09-06,2026-06-13
25,Jaqueta,Jaqueta Social,Azul,GG,66.53,10,28,30,33,0,3,2025-01-24,2025-08-27
26,Vestido,Vestido Premium,Azul,P,279.58,8,25,80,71,9,8,2025-12-21,2026-03-05
27,Camiseta,Camiseta Slim,Cinza,P,63.78,8,32,96,51,45,43,2024-04-17,2026-01-31
28,Jaqueta,Jaqueta Slim,Preta,GG,79.29,7,26,111,21,90,90,2025-08-25,2025-11-07
29,Acessório,Acessório Esporte,Preta,GG,260.84,8,27,82,4,78,80,2026-06-07,2026-08-07
30,Blusa,Blusa X,Verde,P,141.59,4,35,96,0,96,98,2024-04-21,2026-09-13
31,Calça,Calça Social,Verde  ,M,"R$ 27,93",6,40,114,72,42,39,2025-11-04,2026-09-23
32,Jaqueta,Jaqueta X,Verde,G,221.86,10,38,55,12,43,43,2024-05-29,2026-06-20
33,Calça,Calça X,Branca,M,298.14,7,37,48,47,1,2,2025-06-19,2025-11-14
34,Jaqueta,Jaqueta Esporte,Rosa,P,302.83,4,25,64,28,36,38,2024-09-28,2026-03-01
35,Bermuda,Bermuda Slim,Rosa,M,244.56,7,40,72,98,0,1,2025-07-17,2026-03-28
36,Calça,Calça Casual,Preta,G,90.72,3,30,146,97,49,51,2026-01-09,2026-03-20
37,Bermuda,Bermuda Básica, Azul,M,128.33,4,24,76,44,32,32,2025-08-10,2026-06-13
38,Bermuda,Bermuda Básica,Vermelha,GG,179.57,9,26,150,71,79,77,2025-09-11,2025-12-01
39,Calça,Calça Slim,Vermelha,P,187.06,10,35,75,10,65,68,2024-12-30,2026-07-30
40,Bermuda,Bermuda Slim,Azul,M,342.64,5,21,103,57,46,49,2024-10-20,2025-07-21
41,Jaqueta,Jaqueta Básica,Preta,M,106.21,3,26,124,121,3,5,2024-10-10,2024-12-04
42,Jaqueta,Jaqueta Básica,Vermelha,M,65.01,3,33,48,71,0,0,2026-04-15,2026-09-19
43,Calça,Calça Esporte,Verde,GG,192.93,8,21,89,82,7,6,2024-09-20,2025-07-21
44,Blusa,Blusa Slim,Cinza,M,82.1,10,30,129,161,0,0,2025-02-27,2026-06-11
45,Camiseta,Camiseta Slim,Verde,GG,176.8,9,40,123,50,73,72,2026-09-03,2026-09-19
46,Camiseta,Camiseta Premium,Branca,P,279.67,5,32,64,4,60,59,2024-09-14,2024-10-13
47,Vestido,Vestido Premium,Verde,M,326.85,8,36,84,17,67,64,2025-02-28,2026-05-14
48,Camiseta,Camiseta Social,Cinza,M,195.99,3,35,24,50,0,3,2025-09-04,2025-10-07
49,Blusa,Blusa Casual,Preta,G,27.83,3,21,112,1,111,110,2025-05-10,2025-07-23
50,Blusa,Blusa Premium,Azul,P,245.1,10,34,53,20,33,36,2025-02-15,2025-05-01
51,Camiseta,Camiseta Slim,Vermelha,G,196.75,8,40,42,82,0,0,2024-04-19,2025-11-27
52,Acessório,Acessório X,Cinza,M,44.51,7,39,91,121,0,2,2024-12-22,2025-11-10
53,Bermuda,Bermuda Casual,Branca,M,149.96,10,35,143,51,92,90,2024-07-27,2025-10-06
