id_promocao,produto,categoria,tipo_desconto,desconto,data_inicio,data_fim,vendas_antes,vendas_durante
1,Camiseta Esporte,Camiseta,Valor Fixo,0.25,2026-08-14,2026-08-22,26,40
2,Blusa Esporte,Blusa,Percentual,0.14,2026-04-20,2026-05-05,13,22
3,Acessório Casual,Acessório,Valor Fixo,0.33,2026-06-09,2026-06-29,30,58
4,Vestido Premium,Vestido,Percentual,0.1,2026-05-26,2026-06-07,22,29
5,Jaqueta Slim,Jaqueta,Valor Fixo,0.13,2026-04-14,2026-05-01,51,123
6,Vestido Slim,Vestido,Valor Fixo,0.25,2026-06-08,2026-06-17,38,87
7,Acessório Esporte,Acessório,Percentual,0.18,2026-03-10,2026-03-18,15,22
8,Bermuda Básica,Bermuda,Valor Fixo,0.33,2026-06-26,2026-07-11,36,82
9,Camiseta Casual,Camiseta,Valor Fixo,0.29,2026-04-17,2026-04-25,17,35
10,Blusa Casual,Blusa,Percentual,0.13,2026-08-13,2026-09-01,40,53
11,Camiseta Esporte,Camiseta,Percentual,0.11,2026-05-30,2026-06-12,51,68
12,Calça Slim,Calça,Valor Fixo,0.28,2026-09-19,2026-09-26,41,57
13,Vestido Premium,Vestido,Valor Fixo,0.33,2026-09-19,2026-09-30,27,37
14,Jaqueta Básica,Jaqueta,Percentual,0.16,2026-08-17,2026-09-05,34,52
15,Calça Social,Calça,Percentual,0.18,2026-07-22,2026-07-31,53,73
