id_venda,data_venda,hora_venda,id_produto,produto,categoria,cor,tamanho,quantidade,preco_unitario,desconto,valor_total,forma_pagamento,canal,id_cliente,id_vendedor
1,2026-05-08,16:00,36,Calça Casual,Calça,Preta,G,3,90.72,498.98855573422276,258.55,Cartão de Débito,Online,575.0,19
2,2026-04-30,20:45,12,Vestido Slim,Vestido,Azul,GG,1,100.47,0.0,100.47,Cartão de Débito,Física,18.0,20
3,2026-04-20,18:30,173,Acessório Esporte,Acessório,Branca,GG,2,88.14,0.0,176.28,Cartão de Débito,Física,409.0,14
4,2026-05-30,11:30,38,Bermuda Básica,Bermuda,Vermelha,GG,4,179.57,0.0,718.28,PIX,Física,78.0,16
5,2026-08-20,14:15,40,Bermuda Slim,Bermuda,Azul,M,3,342.64,102.79,925.13,Dinheiro,Online,65.0,23
6,2026-04-18,17:15,148,Bermuda Básica,Bermuda,Verde,P,1,312.83,0.0,312.83,Dinheiro,Online,162.0,14
7,2026-08-23,18:15,43,Calça Esporte,Calça,Verde,GG,1,192.93,19.29,173.64,Cartão de Débito,Online,386.0,25
8,2026-06-20,16:00,95,Blusa Premium,Blusa,Preta,M,2,80.71,8.07,153.35,Cartão de Crédito,Online,299.0,11
9,2026-06-27,09:45,122,Vestido Premium,Vestido,Verde,P,4,276.24,0.0,1104.96,Cartão de Crédito,Online,152.0,12
10,2026-07-17,21:15,57,Jaqueta Básica,Jaqueta,Preta,P,1,63.55,0.0,63.55,PIX,Online,,4
11,2026-04-19,19:00,67,Acessório Casual,Acessório,Branca,GG,1,71.41,7.14,64.27,Crediário,Física,556.0,24
12,2026-05-02,15:15,103,Acessório Casual,Acessório,Vermelha,GG,1,68.64,10.3,58.34,Cartão de Crédito,Online,268.0,25
13,2026-04-17,12:45,118,Acessório Social,Acessório,Rosa,P,1,239.83,0.0,239.83,PIX,Online,59.0,6
14,2026-05-11,13:00,169,Camiseta Esporte,Camiseta,Branca,G,2,181.21,36.24,326.18,PIX,Física,33.0,13
15,2026-09-21,16:45,57,Jaqueta Básica,Jaqueta,Preta,P,1,63.55,3.18,60.37,Cartão de Débito,Online,357.0,9
16,2026-06-12,09:15,109,Blusa X,Blusa,Preta,GG,3,204.96,30.74,584.14,PIX,Online,490.0,8
17,2026-07-22,19:30,44,Blusa Slim,Blusa,Cinza,M,3,82.1,0.0,246.3,PIX,Física,243.0,5
18,2026-03-28,09:45,155,Camiseta Slim,Camiseta,Azul,G,1,102.86,0.0,102.86,Dinheiro,Online,165.0,13
19,2026-05-20,10:00,115,Camiseta Casual,Camiseta,Preta,GG,1,289.89,0.0,289.89,Cartão de Crédito,Online,309.0,20
20,2026-05-30,16:45,111,Blusa Casual,Blusa,Cinza,P,2,244.71,73.41,416.01,Cartão De Crédito,Física,269.0,25
21,2026-07-08,18:00,178,Bermuda Slim,Bermuda,Cinza,P,4,251.61,0.0,1006.44,Cartão de Crédito,Física,257.0,11
22,2026-08-28,14:00,169,Camiseta Esporte,Camiseta,Branca,G,3,181.21,27.18,516.45,PIX,Física,499.0,18
23,2026-09-03,16:15,105,Blusa Casual,Blusa,Preta,G,4,336.63,0.0,1346.52,Cartão de Crédito,Online,599.0,11
24,2026-05-03,15:00,38,Bermuda Básica,Bermuda,Vermelha,GG,2,179.57,0.0,359.14,Cartão de Crédito,Física,379.0,22
25,2026-07-06,11:30,38,Bermuda Básica,Bermuda,Vermelha,GG,4,179.57,0.0,718.28,Cartão de Crédito,Física,,3
26,2026-05-24,16:30,97,Camiseta Esporte,Camiseta,Verde,P,4,207.21,0.0,828.84,PIX,Online,99.0,14
27,2026-09-25,09:45,162,Camiseta X,Camiseta,Preta,M,2,121.62,0.0,243.24,Cartão de Crédito,Online,425.0,1
