id_cliente,idade,cidade,data_cadastro,canal_preferencial
1,72,Itobi,2024-09-18,Física
2,49,Aguaí,2026-04-26,Física
3,66,Itobi,2025-04-17,Online
4,62,São João da Boa Vista,2026-09-22,Online
5,63,Casa Branca,2025-02-16,Física
6,-1,Tambaú,2026-07-30,Física
7,46,Aguaí,2026-06-12,Física
8,45,Mococa,2025-02-11,Online
9,18,Itobi,2024-03-26,Física
10,63,Vargem Grande do Sul,2025-04-06,Online
11,69,Vargem Grande do Sul,2025-12-13,Física
12,59,Vargem Grande do Sul,2024-11-21,Online
13,150,Casa Branca,2024-01-15,Online
14,75,Tambaú,2026-07-12,Física
15,23,Tambaú,2025-03-18,Online
16,72,Aguaí,2024-03-23,Física
17,31,Vargem Grande do Sul,2025-03-11,Física
18,25,Casa Branca,2026-08-15,Online
19,63,Tambaú,2025-01-27,Online
20,47,Mococa,2026-08-03,Física
21,999,São João da Boa Vista,2025-06-27,Online
22,51,São José do Rio Pardo,2025-07-07,Física
23,73,Vargem Grande do Sul,2024-06-18,Física
24,66,Mococa,2025-01-02,Física
25,29,Mococa,2024-07-26,Física
26,69,São José do Rio Pardo,2026-08-24,Online
27,150,Tambaú,2024-12-11,Online
28,17,São José do Rio Pardo,2025-05-04,Física
29,41,AguaÃ­,2024-08-06,Online
30,55,Tambaú,2024-05-18,Física
31,37,Vargem Grande do Sul,2024-05-27,Física
32,49,Aguaí,2024-02-26,Online
33,56,Aguaí,2026-05-19,Online
34,41,Casa Branca,2026-01-25,Física
35,67,São José do Rio Pardo,2025-11-04,Online
36,41,Aguaí,2026-08-12,Online
37,70,Vargem Grande do Sul,2025-09-01,Online
38,57,São José do Rio Pardo,2024-06-19,Online
39,52,Itobi,2025-02-24,Online
40,46,Vargem Grande do Sul,2026-09-23,Física
41,51,Tambaú,2026-01-20,Física
42,47,Itobi,2024-10-30,Física
43,63,Casa Branca,2024-07-11,Online
44,18,Tambaú,2025-04-20,Online
45,41,Casa Branca,2024-03-22,Física
46,48,Casa Branca,2024-04-18,Física
47,54,São João da Boa Vista,2026-02-22,Online
48,51,São José do Rio Pardo,2024-04-07,Online
49,24,Itobi,2024-02-15,Online
50,49,São João da Boa Vista,2026-06-10,Física
51,20,Casa Branca,2024-01-22,Física
52,36,São João da Boa Vista,2026-04-17,Física
53,38,Aguaí,2024-04-02,Online
54,74,Tambaú,2025-10-17,Física
55,25,Vargem Grande do Sul,2024-02-02,Online
56,73,Aguaí,2024-07-16,Online
57,27,São João da Boa Vista,2024-03-25,Física
58,29,Tambaú,2024-07-27,Online
59,20,Casa Branca,2024-06-12,Online
60,29,Itobi,2024-08-19,Física
61,38,Itobi,2026-06-30,Online
62,71,Itobi,2025-12-16,Física
63,63,Aguaí,20-01-2025,Online
64,26,Aguaí,2025-03-15,Online
65,24,Tambaú,2025-02-09,Física
66,64,Vargem Grande do Sul,2026-06-01,Online
67,41,Itobi,2024-06-06,Física
68,37,Aguaí,2024-08-21,Online
69,64,São João da Boa Vista,2025-02-24,Física
70,46,Casa Branca,28/01/2026,Online
71,66,São João da Boa Vista,2025-03-29,Física
72,40,Casa Branca,2025-10-19,Online
73,69,Itobi,2026-03-24,Online
74,25,Vargem Grande do Sul,2025-05-12,Física
75,21,Vargem Grande do Sul,2026-09-05,Física
76,60,Aguaí,2024-06-22,Online
77,71,São José do Rio Pardo,2026-05-29,Física
78,75,Mococa,2025-09-19,Física
79,42,Mococa,2024-01-23,Online
80,52,São José do Rio Pardo,2025-05-18,Online
81,-1,Tambaú,2025-01-28,Online
82,54,São José do Rio Pardo,2025-03-11,Online
83,74,Aguaí,2025-02-25,Online
84,37,Casa Branca,2025-11-01,Física
85,33,Casa Branca,2025-11-02,Física
86,25,Mococa,2025-09-03,Física
87,32,Casa Branca,2026-04-22,Online
88,54,Aguaí,2025-09-04,Física
89,24,Aguaí,2025-10-19,Online
90,64,Casa Branca,2026-08-09,Física
91,34,Itobi,2024-04-23,Física
92,43,Mococa,2026-05-06,Online
93,47,Vargem Grande do Sul,2025-11-26,Online
94,73,Itobi,2025-12-17,Física
95,47,Mococa,2025-03-26,Física
96,34,São João da Boa Vista,2025-12-28,Física
97,50,Tambaú,2025-06-03,Online
98,52,Itobi,2025-09-12,Online
99,150,Mococa,01-07-2026,Física
100,29,Vargem Grande do Sul,2024-10-21,Online
101,73,São João da Boa Vista,2026-06-29,Online
102,24,Casa Branca,2025-10-02,Física
103,32,Itobi,2024-05-19,Online
104,29,São João da Boa Vista,2024-10-26,Online
105,34,São José do Rio Pardo,2025-04-15,Física
106,30,Aguaí,2024-11-24,Física
107,22,São João da Boa Vista,2025-03-13,Física
108,52,TambaÃº,2026-04-28,Online
109,34,Aguaí,2026-07-10,Física
110,17,Itobi,2024-01-21,Online
111,64,São João da Boa Vista,2026-09-08,Física
112,29,Aguaí,2024-07-24,Online
113,56,Casa Branca,21/08/24,Física
114,69,São João da Boa Vista,2024-09-14,Online
115,23,Vargem Grande do Sul,2026-03-12,Física
116,73,São José do Rio Pardo,2024-03-20,Física
117,19,Aguaí,2026-02-28,Física
118,18,São José do Rio Pardo,2025-03-22,Online
119,45,Vargem Grande do Sul,2024-12-28,Física
120,73,Tambaú,2026-03-11,Online
121,57,Itobi,2026-04-14,Online
122,56,Tambaú,2026-08-22,online
123,27,Itobi,2026-05-04,Online
124,37,São José do Rio Pardo,2025-11-25,Online
125,31,Aguaí,2026-04-23,Física
126,41,Casa Branca,2026-08-20,Física
127,35,Casa Branca,2025-09-25,Física
128,22,Casa Branca,2025-09-13,Física
129,46,Tambaú,2026-08-17,Online
130,34,Itobi,2025-07-07,Física
131,72,Vargem Grande do Sul,2026-02-28,Online
132,42,Itobi,2025-03-05,Online
133,23,Itobi,2026-05-14,Física
134,64,Mococa,2026-06-21,Online
135,50,Tambaú,2025-09-08,Física
136,21,São João da Boa Vista,2026-05-30,Online
137,64,Aguaí,2026-02-05,Física
138,25,Itobi,2024-03-13,Online
139,29,Aguaí,2025-02-08,Física
140,33,São João da Boa Vista,2024-11-03,Física
141,48,Casa Branca,2024-09-02,Física
142,42,Aguaí,2025-03-26,Física
143,36,Itobi,2025-12-26,Online
144,18,TambaÃº,2026-09-03,Online
145,63,Tambaú,2024-10-19,Física
146,27,Casa Branca,2024-03-19,Física
147,55,Vargem Grande do Sul,2026-09-08,Online
148,34,Vargem Grande do Sul,04/05/2025,Física
149,20,São João da Boa Vista,2025-05-26,Online
150,43,Casa Branca,2026-06-05,Online
151,57,Vargem Grande do Sul,2026-01-13,Online
152,73,Aguaí,2024-12-06,Online
153,16,Vargem Grande do Sul,2025-06-15,Online
154,35,São José do Rio Pardo,2024-11-07,Física
