id_produto,categoria,produto,cor,tamanho,preco_unitario,estoque_minimo,estoque_maximo,quantidade_entrada,quantidade_saida,estoque_atual,estoque_fisico,data_entrada,ultima_venda
1,Vestido,Vestido Casual,Verde,P,315.12,3,33,47,56,0,0,2025-05-18,2026-03-23
2,Blusa,Blusa Casual,Preta,GG,73.53,4,24,94,109,0,3,2024-01-24,2026-03-17
3,Acessório,Acessório Casual,Preta,P,164.95,8,30,149,126,23,21,2026-04-28,2026-05-22
4,Vestido,Vestido X,Azul,G,301.51,10,38,106,114,0,0,2024-09-23,2024-12-21
5,bermuda,Bermuda Casual,Preta,M,252.59,4,29,123,151,0,0,2024-03-21,2026-07-29
6,Camiseta,Camiseta Casual,Vermelha,G,266.01,5,31,63,55,8,5,2024-08-08,2025-02-07
7,Bermuda,Bermuda Slim,Branca,P,145.46,5,29,39,16,23,26,2025-08-03,2026-04-01
8,Camiseta,Camiseta Slim,Vermelha,G,189.75,4,26,125,81,44,45,2025-10-12,2026-06-12
9,JAQUETA,Jaqueta Premium,Rosa,P,251.41,10,23,115,154,0,2,2025-04-17,2026-05-13
10,Jaqueta,Jaqueta Esporte,Azul,GG,344.13,5,23,74,26,48,47,2026-07-29,2026-09-22
11,Blusa,Blusa X,Verde,M,185.54,3,40,111,74,37,40,2024-12-27,2025-06-01
12,Vestido,Vestido Social,Preta,P,206.86,4,37,115,119,0,0,2024-09-19,2026-09-18
13,Camiseta,Camiseta X,Preta,G,39.69,9,37,144,144,0,3,2025-12-03,2026-02-19
14,Camiseta,Camiseta Esporte,Vermelha,GG,97.31,8,26,89,88,1,2,2025-11-16,2025-11-29
15,Vestido,Vestido Básica, Preta ,0,47.4,5,27,119,133,0,2,2026-07-04,2026-07-27
16,Camiseta,Camiseta Social,Cinza,GG,331.58,3,28,128,135,0,3,2024-05-20,2025-01-16
17,Bermuda,Bermuda Social,Preta,P,90.49,4,29,21,31,0,0,2025-04-25,2025-05-23
18,Vestido,Vestido Social,Preta,G,343.85,5,35,145,101,44,46,2025-12-16,2026-05-23
19,Vestido,Vestido Slim,Verde,P,286.2,6,23,69,69,0,0,2025-09-22,2026-07-09
20,Jaqueta,Jaqueta Casual,Preta,P,137.0,3,37,43,13,30,29,2024-05-12,2026-02-25
21,Vestido,Vestido Esporte,Vermelha,GG,168.25,8,32,65,69,0,1,2025-09-12,2025-11-15
22,Calça,Calça X,Vermelha,M,"316,01",6,28,33,60,0,3,2025-11-21,2026-03-09
23,Jaqueta,Jaqueta Esporte,Vermelha,P,"R$ 166,11",4,35,23,49,0,1,2025-11-02,2025-11-05
24,Camiseta,Camiseta Esporte,Rosa,P,115.6,4,36,111,84,27,30,2026-02-21,2026-07-17
25,Jaqueta,Jaqueta Básica,Vermelha,G,94.73,4,34,84,35,49,52,2025-05-18,2026-02-02
26,Calça,Calça Premium, Azul,P,318.11,3,27,146,20,126,123,2024-11-18,2026-09-18
27,Vestido,Vestido Casual,Preta,GG,324.09,8,40,36,0,36,35,2026-01-19,2026-09-10
28,Blusa,Blusa Premium,Vermelha,M,251.27,10,21,38,47,0,1,2026-04-19,2026-06-21
29,JAQUETA,Jaqueta Básica,Azul,M,78.25,5,20,43,-71,0,1,2026-01-01,2026-07-04
30,Jaqueta,Jaqueta X,Preta,GG,73.7,9,33,139,141,0,0,2025-08-15,2025-10-04
31,Camiseta,Camiseta Slim,Verde,M,153.72,3,29,117,116,1,2,2026-06-13,2026-08-13
32,Blusa,Blusa Premium,Branca,P,283.49,4,37,81,109,0,0,2026-09-14,2026-09-17
33,Camiseta,Camiseta Casual,Verde,M,36.66,9,36,127,157,0,0,2025-08-08,2026-09-23
34,Acessório,Acessório Básica,Rosa,GG,95.07,8,21,28,55,0,0,2025-05-14,2025-06-29
35,Acessório,Acessório Básica,Cinza,P,145.92,4,29,124,89,35,36,2024-02-13,2026-09-19
36,Vestido,Vestido Casual,Preta,GG,28.02,4,35,71,59,12,11,2025-02-03,2025-06-08
37,Calça,Calça Slim,Preta,G,"R$ 108,74",5,27,57,36,21,21,2025-12-20,2026-05-27
38,Acessório,Acessório Básica,Preta,M,180.55,3,38,31,67,0,0,2024-08-03,2025-01-31
